# DSID NUM_EVENTS X_SECTION(fb) FILTER_EFFICIENCY GENERATOR
# pythia_gammajet_mc15c
423104 998200.0 6704576437.59 4.94358556762e-05 Pythia8+EvtGen
423105 996800.0 339464235.554 5.51755930678e-05 Pythia8+EvtGen
423106 997400.0 23734025.2708 5.29735702156e-05 Pythia8+EvtGen
423107 95000.0 2286905.26316 3.53244300737e-05 Pythia8+EvtGen
423108 99500.0 702029.447236 3.72631268241e-05 Pythia8+EvtGen
423109 99300.0 39345.0855992 3.70624358006e-05 Pythia8+EvtGen
423110 99700.0 3327.66098295 3.42427638516e-05 Pythia8+EvtGen
423111 99300.0 324.946928499 3.02210217019e-05 Pythia8+EvtGen
423112 98700.0 31.4800506586 2.86352926444e-05 Pythia8+EvtGen
# ttbar_allhad_mc15c
303722 550000.0 696249.523636 0.00396208695636 Powheg+Pythia+EvtGen+Photos+Tauola
303726 45000.0 696244.306667 0.000260805448889 Powheg+Pythia+EvtGen+Photos+Tauola
303724 100000.0 696224.94 0.000725547913 Powheg+Pythia+EvtGen+Photos+Tauola
303723 230000.0 696244.243478 0.00163690858696 Powheg+Pythia+EvtGen+Photos+Tauola
303725 75000.0 696236.642667 0.000440781439467 Powheg+Pythia+EvtGen+Photos+Tauola
# herwig_dijet_mc15c
426040 2000000.0 7.851434205e+13 0.98375862885 Herwigpp+EvtGen
426041 1964000.0 7.85137341141e+13 0.000369834511711 Herwigpp+EvtGen
426042 1955500.0 1.67772918947e+12 0.000261753010483 Herwigpp+EvtGen
426043 1938500.0 18117929894.2 0.000235903925638 Herwigpp+EvtGen
426044 1955500.0 167547441.575 0.000393820102787 Herwigpp+EvtGen
426045 1954500.0 2871682.9317 0.000709231196674 Herwigpp+EvtGen
426046 1957500.0 157571.527203 0.000765813102197 Herwigpp+EvtGen
426047 1951500.0 9787.9866103 0.000347006986498 Herwigpp+EvtGen
426048 1963500.0 386.672459384 0.00907512125745 Herwigpp+EvtGen
426049 491000.0 13.055935336 0.0103677406324 Herwigpp+EvtGen
426050 491000.0 0.841397318737 0.00466359585733 Herwigpp+EvtGen
426051 489500.0 0.0302727344229 0.00191685366006 Herwigpp+EvtGen
426052 488000.0 0.000702118547131 0.000288460579508 Herwigpp+EvtGen
# pythia_dijet_mc15c
361020 2000000.0 7.469505e+13 0.92905177295 Pythia8+EvtGen
361021 2000000.0 7.842e+13 0.00067263810015 Pythia8+EvtGen
361022 1999000.0 2.43322161081e+12 0.000333308162931 Pythia8+EvtGen
361023 7896500.0 26461156501.4 0.000320347191507 Pythia8+EvtGen
361024 7993500.0 254625251.767 0.000530890186014 Pythia8+EvtGen
361025 7996500.0 4553536.04702 0.00092438820222 Pythia8+EvtGen
361026 1997000.0 257534.051077 0.0009410613 Pythia8+EvtGen
361027 1996500.0 16214.6882044 0.000393618893413 Pythia8+EvtGen
361028 2000000.0 625.0241 0.010172920456 Pythia8+EvtGen
361029 2000000.0 19.639495 0.012065653985 Pythia8+EvtGen
361030 2000000.0 1.196156 0.005899654069 Pythia8+EvtGen
361031 1999000.0 0.0417929164582 0.00264507913207 Pythia8+EvtGen
361032 1997500.0 0.00103670663329 0.000425837301252 Pythia8+EvtGen
# V+jets_mc15c
304673 150000.0 13525.1266667 1.0 Herwigpp
304674 40000.0 920.713 1.0 Herwigpp
304675 30000.0 175.298166667 1.0 Herwigpp
304676 30000.0 21.7900833333 1.0 Herwigpp
304677 20000.0 2.2739225 1.0 Herwigpp
304678 75000.0 5472.32466667 1.0 Herwigpp
304679 20000.0 370.303 1.0 Herwigpp
304680 15000.0 70.598 1.0 Herwigpp
304681 15000.0 8.85348 1.0 Herwigpp
304682 10000.0 0.900133 1.0 Herwigpp
304630 15000.0 125.066666667 1.0 Pythia8+EvtGen
304623 150000.0 23146.3333333 1.0 Pythia8+EvtGen
304625 30000.0 277.566666667 1.0 Pythia8+EvtGen
304626 30000.0 35.315 1.0 Pythia8+EvtGen
304631 15000.0 15.7966666667 1.0 Pythia8+EvtGen
304628 75000.0 10454.6666667 1.0 Pythia8+EvtGen
304629 20000.0 674.875 1.0 Pythia8+EvtGen
304624 40000.0 1482.25 1.0 Pythia8+EvtGen
304632 10000.0 1.705 1.0 Pythia8+EvtGen
304627 20000.0 3.80075 1.0 Pythia8+EvtGen
304707 75000.0 12574.5813333 1.0 Sherpa
304307 150000.0 29503.5636667 1.0 Sherpa
304708 15000.0 903.496866667 1.0 Sherpa
304309 15000.0 46.4606533333 1.0 Sherpa
304709 10000.0 18.58361 1.0 Sherpa
304308 30000.0 2155.865 1.0 Sherpa
# ttbar_nonallhad_mc15c
410000 49975000.0 698819.157042 0.546156754039 Powheg+Pythia+EvtGen+Photos+Tauola
