# DSID NUM_EVENTS X_SECTION(fb) FILTER_EFFICIENCY GENERATOR
# pythia_wjets
304623 148000 23146.0 1.0000E+00 Pythia8+EvtGen
304624 38000 1482.3 1.0000E+00 Pythia8+EvtGen
304625 30000 277.57 1.0000E+00 Pythia8+EvtGen
304626 30000 35.315 1.0000E+00 Pythia8+EvtGen
304627 19000 3.8008 1.0000E+00 Pythia8+EvtGen
# herwig_dijet
426040 1991000 7.8514e+13 9.8376E-01 Herwigpp+EvtGen
426041 1942000 7.8514e+13 3.7044E-04 Herwigpp+EvtGen
426042 1938500 1.6777e+12 2.6178E-04 Herwigpp+EvtGen
426043 1905500 18116000000.0 2.3548E-04 Herwigpp+EvtGen
426044 1926500 167550000.0 3.9541E-04 Herwigpp+EvtGen
426045 1926500 2871600.0 7.1015E-04 Herwigpp+EvtGen
426046 1930500 157590.0 7.6731E-04 Herwigpp+EvtGen
426047 1927500 9787.9 3.4603E-04 Herwigpp+EvtGen
426048 1928500 386.67 9.0751E-03 Herwigpp+EvtGen
426049 387000 13.056 1.0368E-02 Herwigpp+EvtGen
426050 456000 0.8414 4.6636E-03 Herwigpp+EvtGen
426051 418500 0.0303 1.9169E-03 Herwigpp+EvtGen
426052 402000 0.0007 2.8846E-04 Herwigpp+EvtGen
# pythia_gammajet
423104 996400 6704600000.0 4.9497E-05 Pythia8+EvtGen
423105 967199 344260000.0 5.5924E-05 Pythia8+EvtGen
423106 994200 23729000.0 5.2926E-05 Pythia8+EvtGen
423107 92000 2286900.0 3.5278E-05 Pythia8+EvtGen
423108 99500 702030.0 3.7254E-05 Pythia8+EvtGen
423109 98300 39345.0 3.7165E-05 Pythia8+EvtGen
423110 94700 3327.7 3.4316E-05 Pythia8+EvtGen
423111 98300 324.95 3.0247E-05 Pythia8+EvtGen
423112 97700 31.48 2.8657E-05 Pythia8+EvtGen
# sherpa_dijet
426131 2929000 2.0593e+13 8.5809E-02 Sherpa
426132 1968000 1.0731e+11 1.4179E-01 Sherpa
426133 7766995 13075000000.0 1.8540E-02 Sherpa
426134 7840000 96077000.0 2.7799E-02 Sherpa
